id,Decision,Host_is_superhost,Host_identity_verified,Neighbourhood,Room_type,Accommodates,Essentials,Cooking,Balcony,Parking,Price,Number_of_reviews,Review_scores_rating,Instant_bookable,Month
1,1,1,1,28806,Entire home/apt,6,5,5,1,1,164.0,90,4.93,1,August
2,1,1,1,28804,Entire home/apt,4,5,4,1,1,101.0,522,4.69,1,June
3,0,1,1,28806,Private room,1,5,3,1,1,32.0,35,4.83,0,June
4,1,1,1,28803,Entire home/apt,8,5,5,0,1,381.0,11,5.0,1,September
5,0,1,1,28805,Entire home/apt,6,5,5,1,1,238.0,63,4.7,0,July
6,1,1,1,28806,Entire home/apt,6,5,5,1,1,133.0,29,4.93,0,August
7,1,1,1,28806,Entire home/apt,2,5,3,1,1,138.0,40,5.0,0,September
8,0,1,1,28803,Entire home/apt,4,5,5,1,1,60.0,0,0.0,0,June
9,1,0,1,28704,Entire home/apt,12,4,4,0,1,258.0,13,4.69,1,August
10,0,1,1,28806,Entire home/apt,3,4,1,0,1,100.0,68,4.94,0,September
11,1,0,1,28806,Entire home/apt,4,5,0,0,1,106.0,56,4.48,0,August
12,1,1,0,28801,Entire home/apt,2,4,3,0,1,107.0,95,4.58,1,September
13,1,0,0,28801,Entire home/apt,2,5,1,0,1,193.0,2,5.0,0,June
14,1,1,1,28801,Entire home/apt,4,3,5,1,1,252.0,62,4.92,1,July
15,0,1,1,28806,Entire home/apt,6,5,5,0,1,385.0,17,4.82,1,June
16,0,1,0,28732,Entire home/apt,4,5,5,1,1,129.0,20,4.95,0,July
17,1,1,1,28715,Entire home/apt,11,5,5,1,1,500.0,5,5.0,0,June
18,1,0,0,28715,Entire home/apt,2,5,4,1,1,104.0,210,4.78,1,August
19,1,1,0,28803,Entire home/apt,16,5,5,1,1,1175.0,25,4.92,0,July
20,1,1,1,28803,Entire home/apt,6,5,5,1,1,246.0,40,4.95,0,July
21,1,1,1,28704,Entire home/apt,2,4,5,1,1,135.0,79,4.77,0,August
22,1,1,1,28804,Entire home/apt,3,5,4,1,1,146.0,183,4.92,1,June
23,1,1,1,28806,Entire home/apt,2,5,5,1,1,215.0,10,4.9,0,August
24,1,0,1,28803,Private room,2,5,2,0,1,70.0,50,4.86,1,August
25,1,0,0,28806,Entire home/apt,2,4,3,0,0,433.0,0,0.0,1,June
26,0,1,0,28801,Entire home/apt,2,5,5,1,1,90.0,8,5.0,0,September
27,0,1,1,28801,Entire home/apt,2,5,5,0,1,55.0,2,4.5,0,September
28,1,1,1,28704,Entire home/apt,6,5,5,1,1,250.0,14,5.0,1,September
29,1,0,1,28806,Entire home/apt,6,5,5,0,1,176.0,119,4.69,1,June
30,0,1,0,28803,Entire home/apt,4,5,4,1,1,188.0,174,4.97,1,August
31,0,1,1,28805,Entire home/apt,2,5,5,1,1,77.0,235,4.78,0,June
32,0,0,1,28805,Entire home/apt,7,5,0,0,1,132.0,13,5.0,0,August
33,1,1,1,28801,Entire home/apt,4,5,5,0,1,266.0,17,4.65,1,September
34,0,1,1,28715,Entire home/apt,6,5,0,1,1,175.0,2,5.0,0,July
35,0,1,1,28806,Entire home/apt,7,5,5,1,1,308.0,2,5.0,1,August
36,0,1,1,28704,Entire home/apt,3,5,5,1,1,246.0,0,0.0,1,August
37,0,1,1,28806,Entire home/apt,5,3,3,1,1,129.0,222,4.88,0,June
38,1,1,0,28805,Entire home/apt,6,5,3,0,1,114.0,207,4.94,1,September
39,0,1,1,28806,Entire home/apt,14,4,5,1,1,366.0,11,4.91,0,June
40,1,1,0,28803,Private room,2,5,2,1,1,72.0,18,4.94,0,August
41,1,1,1,28805,Entire home/apt,4,5,4,1,1,140.0,350,4.96,1,September
42,1,0,1,28804,Entire home/apt,8,5,5,1,1,165.0,41,4.73,1,June
43,0,1,1,28804,Entire home/apt,4,5,5,1,1,125.0,272,4.94,0,July
44,1,0,1,28801,Entire home/apt,12,5,5,1,1,574.0,107,4.92,1,August
45,1,1,1,28806,Entire home/apt,16,5,5,1,1,825.0,55,5.0,1,July
46,1,1,1,28804,Entire home/apt,10,5,5,1,1,390.0,94,4.97,1,August
47,1,0,1,28806,Entire home/apt,2,5,2,1,1,96.0,231,4.73,0,July
48,1,1,1,28806,Entire home/apt,4,5,5,1,0,167.0,0,0.0,1,June
49,1,0,0,28801,Private room,2,5,5,0,1,314.0,0,0.0,1,August
50,1,1,1,28803,Entire home/apt,8,4,3,0,1,354.0,2,5.0,1,August
51,0,1,1,28804,Entire home/apt,4,5,5,1,1,144.0,71,5.0,1,July
52,1,1,1,28801,Entire home/apt,2,5,5,0,1,223.0,24,4.96,0,July
53,1,1,1,28806,Entire home/apt,2,5,3,1,1,97.0,44,4.98,1,June
54,1,1,1,28806,Entire home/apt,2,5,5,1,1,100.0,353,4.95,0,September
55,1,1,1,28803,Private room,3,5,5,1,1,91.0,18,5.0,1,September
56,1,1,1,28804,Entire home/apt,2,5,4,1,1,141.0,331,4.94,0,August
57,1,0,0,28801,Private room,2,5,3,1,1,192.0,100,4.94,1,September
58,1,0,0,28801,Entire home/apt,2,5,2,0,0,322.0,0,0.0,1,June
59,0,0,1,28803,Entire home/apt,6,5,5,1,1,300.0,18,5.0,0,August
60,1,1,1,28806,Entire home/apt,10,5,5,1,1,458.0,126,4.95,0,July
61,0,1,0,28806,Entire home/apt,3,5,3,0,1,60.0,69,4.91,1,July
62,1,0,1,28801,Private room,2,5,3,1,1,291.0,1,5.0,1,August
63,1,1,1,28801,Entire home/apt,8,5,5,1,1,538.0,27,5.0,1,July
64,1,0,1,28801,Entire home/apt,4,4,4,0,1,145.0,3,5.0,1,June
65,0,0,1,28806,Entire home/apt,4,5,4,1,1,150.0,38,4.95,0,September
66,1,1,1,28801,Entire home/apt,4,5,5,1,1,215.0,89,4.97,0,June
67,1,1,1,28806,Private room,2,4,1,1,1,127.0,18,4.72,1,July
68,1,1,1,28801,Entire home/apt,2,5,4,1,1,105.0,337,4.94,1,July
69,1,1,0,28801,Private room,2,5,5,1,1,124.0,100,4.7,0,June
70,1,1,1,28803,Entire home/apt,8,4,3,0,1,354.0,2,5.0,1,July
71,1,1,1,28806,Entire home/apt,6,5,5,0,1,176.0,128,4.72,1,August
72,1,0,0,28804,Entire home/apt,3,5,5,1,1,99.0,6,5.0,1,August
73,1,1,1,28805,Private room,2,4,1,0,1,105.0,274,4.96,0,July
74,0,0,1,28806,Entire home/apt,7,5,5,1,1,135.0,3,5.0,0,August
75,1,0,1,28801,Entire home/apt,3,5,3,0,1,143.0,12,4.83,1,June
76,1,1,1,28804,Private room,2,5,1,0,1,50.0,95,4.84,1,July
77,1,0,0,28806,Entire home/apt,2,5,3,1,1,146.0,16,5.0,1,September
78,1,1,0,28801,Entire home/apt,4,5,5,1,1,105.0,101,4.94,0,July
79,1,0,1,28805,Entire home/apt,2,4,2,1,1,99.0,9,4.78,0,June
80,1,0,1,28805,Entire home/apt,8,4,4,1,1,486.0,2,4.5,1,August
81,1,1,1,28801,Entire home/apt,6,5,5,1,1,224.0,38,4.74,1,August
82,0,1,1,28804,Entire home/apt,5,5,5,1,1,161.0,92,4.93,1,July
83,1,1,1,28804,Entire home/apt,5,5,5,1,1,200.0,24,4.88,0,September
84,0,0,0,28801,Entire home/apt,2,5,5,1,1,154.0,47,4.74,1,August
85,1,0,0,28805,Private room,2,2,0,0,0,244.0,0,0.0,1,August
86,0,1,1,28704,Entire home/apt,2,5,5,1,1,74.0,66,4.98,1,June
87,1,1,1,28804,Entire home/apt,4,5,5,1,1,271.0,11,4.91,1,June
88,1,1,1,28801,Entire home/apt,2,4,1,0,1,231.0,104,4.96,1,June
89,1,1,1,28805,Private room,2,5,4,1,1,131.0,542,4.95,0,July
90,1,1,0,28715,Private room,2,4,4,1,1,55.0,74,4.93,0,August
91,1,1,0,28805,Entire home/apt,4,5,5,0,1,141.0,8,5.0,1,July
92,1,1,1,28806,Entire home/apt,4,5,5,1,1,145.0,60,4.93,1,June
93,1,1,1,28801,Private room,2,5,2,1,1,189.0,10,5.0,1,July
94,1,1,1,28801,Entire home/apt,6,5,5,1,1,481.0,18,4.94,1,August
95,0,1,0,28803,Private room,2,4,1,1,1,77.0,9,5.0,0,July
96,1,1,1,28803,Entire home/apt,8,5,5,1,1,296.0,84,4.86,1,June
97,0,1,0,28732,Private room,2,5,4,1,1,47.0,205,4.96,1,July
98,1,0,1,28801,Entire home/apt,4,3,3,1,0,160.0,1,5.0,1,June
99,1,1,1,28704,Entire home/apt,6,5,5,1,1,166.0,34,4.82,0,August
100,1,0,1,28805,Entire home/apt,2,5,2,1,1,70.0,38,4.84,0,September
101,1,1,0,28732,Entire home/apt,4,2,0,0,1,95.0,12,4.92,1,September
102,1,1,1,28732,Entire home/apt,4,5,4,1,1,196.0,75,5.0,1,September
103,0,1,0,28704,Entire home/apt,8,4,5,1,1,532.0,6,4.83,0,July
104,1,1,1,28804,Entire home/apt,12,5,5,1,1,638.0,17,5.0,1,July
105,1,0,1,28803,Entire home/apt,4,4,2,0,1,205.0,6,5.0,1,June
106,0,1,1,28806,Private room,2,5,3,1,1,51.0,7,5.0,1,August
107,1,1,0,28806,Entire home/apt,4,2,0,1,1,19.0,31,4.9,1,September
108,0,0,1,28801,Entire home/apt,6,5,5,1,1,195.0,72,4.72,1,June
109,1,1,0,28805,Entire home/apt,4,5,5,1,1,152.0,33,4.88,1,September
110,1,1,1,28806,Entire home/apt,6,5,4,1,1,176.0,92,4.96,1,July
111,0,1,0,28806,Entire home/apt,7,5,5,1,1,125.0,97,4.97,0,August
112,1,1,1,28801,Entire home/apt,8,5,5,1,1,509.0,31,5.0,1,August
113,0,1,0,28806,Entire home/apt,4,5,5,1,1,173.0,171,4.95,1,August
114,1,1,0,28806,Entire home/apt,4,5,3,1,1,153.0,23,5.0,0,June
115,0,1,1,28801,Entire home/apt,5,5,5,1,1,245.0,84,5.0,0,June
116,0,1,1,28806,Entire home/apt,5,5,5,1,1,110.0,76,4.92,0,September
117,0,1,1,28801,Private room,2,5,3,0,1,75.0,75,4.88,1,June
118,0,1,1,28801,Entire home/apt,4,5,5,0,1,249.0,44,4.93,1,September
119,0,0,1,28805,Entire home/apt,8,4,4,1,1,380.0,12,4.75,1,June
120,0,0,0,28801,Entire home/apt,2,4,0,1,1,200.0,0,0.0,0,September
121,0,0,0,28732,Private room,2,5,1,0,0,201.0,0,0.0,1,August
122,1,1,1,28803,Entire home/apt,7,5,5,1,1,135.0,113,4.96,0,September
123,1,0,1,28801,Entire home/apt,2,3,0,0,1,125.0,155,4.54,0,June
124,1,1,0,28803,Private room,2,5,4,1,1,119.0,17,5.0,0,September
125,0,1,0,28803,Private room,2,5,3,0,1,85.0,123,4.81,0,July
126,0,1,1,28806,Entire home/apt,6,5,5,1,1,110.0,99,4.86,0,June
127,0,1,1,28806,Private room,2,5,3,1,1,94.0,20,5.0,0,August
128,0,1,1,28803,Entire home/apt,4,5,5,1,1,80.0,0,0.0,0,September
129,1,0,1,28804,Entire home/apt,2,4,2,1,1,98.0,129,4.75,1,July
130,1,1,1,28806,Entire home/apt,4,5,5,1,1,133.0,43,4.86,1,June
131,0,1,1,28804,Entire home/apt,2,5,5,1,1,55.0,13,5.0,0,September
132,1,0,1,28704,Private room,2,5,1,1,1,54.0,13,4.77,1,August
133,1,0,1,28803,Entire home/apt,8,5,5,0,1,148.0,104,4.85,1,August
134,1,1,1,28732,Entire home/apt,6,5,5,1,1,205.0,194,4.94,0,June
135,1,1,1,28704,Entire home/apt,2,5,5,1,1,115.0,10,4.7,0,August
136,1,1,0,28704,Private room,2,5,2,1,1,80.0,104,4.98,0,August
137,1,1,1,28806,Entire home/apt,4,5,5,1,1,236.0,17,4.94,0,July
138,1,0,1,28803,Entire home/apt,2,4,0,0,1,94.0,6,5.0,0,July
139,0,1,1,28801,Entire home/apt,6,5,5,1,1,329.0,35,4.97,0,September
140,1,1,1,28804,Entire home/apt,4,4,3,0,0,134.0,16,4.94,0,September
141,0,1,1,28801,Entire home/apt,5,5,5,1,1,226.0,92,5.0,0,September
142,0,1,0,28806,Entire home/apt,6,5,5,1,1,135.0,22,5.0,0,June
143,1,1,0,28803,Entire home/apt,10,5,5,1,1,325.0,64,4.92,0,June
