Host_is_superhost,Host_identity_verified,Neighbourhood,Room_type,Accommodates,Essentials,Cooking,Balcony,Parking,Price,Number_of_reviews,Review_scores_rating,Instant_bookable,Month,Decision
1,1,28806,Entire home/apt,6,5,5,1,1,164.0,90,4.93,1,August,1
1,1,28804,Entire home/apt,4,5,4,1,1,101.0,522,4.69,1,June,1
1,1,28806,Private room,1,5,3,1,1,32.0,35,4.83,0,June,0
1,1,28803,Entire home/apt,8,5,5,0,1,381.0,11,5.0,1,September,1
1,1,28805,Entire home/apt,6,5,5,1,1,238.0,63,4.7,0,July,0
1,1,28806,Entire home/apt,6,5,5,1,1,133.0,29,4.93,0,August,1
1,1,28806,Entire home/apt,2,5,3,1,1,138.0,40,5.0,0,September,1
1,1,28803,Entire home/apt,4,5,5,1,1,60.0,0,0.0,0,June,0
0,1,28704,Entire home/apt,12,4,4,0,1,258.0,13,4.69,1,August,1
1,1,28806,Entire home/apt,3,4,1,0,1,100.0,68,4.94,0,September,0
0,1,28806,Entire home/apt,4,5,0,0,1,106.0,56,4.48,0,August,1
1,0,28801,Entire home/apt,2,4,3,0,1,107.0,95,4.58,1,September,1
0,0,28801,Entire home/apt,2,5,1,0,1,193.0,2,5.0,0,June,1
1,1,28801,Entire home/apt,4,3,5,1,1,252.0,62,4.92,1,July,1
1,1,28806,Entire home/apt,6,5,5,0,1,385.0,17,4.82,1,June,0
1,0,28732,Entire home/apt,4,5,5,1,1,129.0,20,4.95,0,July,0
1,1,28715,Entire home/apt,11,5,5,1,1,500.0,5,5.0,0,June,1
0,0,28715,Entire home/apt,2,5,4,1,1,104.0,210,4.78,1,August,1
1,0,28803,Entire home/apt,16,5,5,1,1,1175.0,25,4.92,0,July,1
1,1,28803,Entire home/apt,6,5,5,1,1,246.0,40,4.95,0,July,1
1,1,28704,Entire home/apt,2,4,5,1,1,135.0,79,4.77,0,August,1
1,1,28804,Entire home/apt,3,5,4,1,1,146.0,183,4.92,1,June,1
1,1,28806,Entire home/apt,2,5,5,1,1,215.0,10,4.9,0,August,1
0,1,28803,Private room,2,5,2,0,1,70.0,50,4.86,1,August,1
0,0,28806,Entire home/apt,2,4,3,0,0,433.0,0,0.0,1,June,1
1,0,28801,Entire home/apt,2,5,5,1,1,90.0,8,5.0,0,September,0
1,1,28801,Entire home/apt,2,5,5,0,1,55.0,2,4.5,0,September,0
1,1,28704,Entire home/apt,6,5,5,1,1,250.0,14,5.0,1,September,1
0,1,28806,Entire home/apt,6,5,5,0,1,176.0,119,4.69,1,June,1
1,0,28803,Entire home/apt,4,5,4,1,1,188.0,174,4.97,1,August,0
1,1,28805,Entire home/apt,2,5,5,1,1,77.0,235,4.78,0,June,0
0,1,28805,Entire home/apt,7,5,0,0,1,132.0,13,5.0,0,August,0
1,1,28801,Entire home/apt,4,5,5,0,1,266.0,17,4.65,1,September,1
1,1,28715,Entire home/apt,6,5,0,1,1,175.0,2,5.0,0,July,0
1,1,28806,Entire home/apt,7,5,5,1,1,308.0,2,5.0,1,August,0
1,1,28704,Entire home/apt,3,5,5,1,1,246.0,0,0.0,1,August,0
1,1,28806,Entire home/apt,5,3,3,1,1,129.0,222,4.88,0,June,0
1,0,28805,Entire home/apt,6,5,3,0,1,114.0,207,4.94,1,September,1
1,1,28806,Entire home/apt,14,4,5,1,1,366.0,11,4.91,0,June,0
1,0,28803,Private room,2,5,2,1,1,72.0,18,4.94,0,August,1
1,1,28805,Entire home/apt,4,5,4,1,1,140.0,350,4.96,1,September,1
0,1,28804,Entire home/apt,8,5,5,1,1,165.0,41,4.73,1,June,1
1,1,28804,Entire home/apt,4,5,5,1,1,125.0,272,4.94,0,July,0
0,1,28801,Entire home/apt,12,5,5,1,1,574.0,107,4.92,1,August,1
1,1,28806,Entire home/apt,16,5,5,1,1,825.0,55,5.0,1,July,1
1,1,28804,Entire home/apt,10,5,5,1,1,390.0,94,4.97,1,August,1
0,1,28806,Entire home/apt,2,5,2,1,1,96.0,231,4.73,0,July,1
1,1,28806,Entire home/apt,4,5,5,1,0,167.0,0,0.0,1,June,1
0,0,28801,Private room,2,5,5,0,1,314.0,0,0.0,1,August,1
1,1,28803,Entire home/apt,8,4,3,0,1,354.0,2,5.0,1,August,1
1,1,28804,Entire home/apt,4,5,5,1,1,144.0,71,5.0,1,July,0
1,1,28801,Entire home/apt,2,5,5,0,1,223.0,24,4.96,0,July,1
1,1,28806,Entire home/apt,2,5,3,1,1,97.0,44,4.98,1,June,1
1,1,28806,Entire home/apt,2,5,5,1,1,100.0,353,4.95,0,September,1
1,1,28803,Private room,3,5,5,1,1,91.0,18,5.0,1,September,1
1,1,28804,Entire home/apt,2,5,4,1,1,141.0,331,4.94,0,August,1
0,0,28801,Private room,2,5,3,1,1,192.0,100,4.94,1,September,1
0,0,28801,Entire home/apt,2,5,2,0,0,322.0,0,0.0,1,June,1
0,1,28803,Entire home/apt,6,5,5,1,1,300.0,18,5.0,0,August,0
1,1,28806,Entire home/apt,10,5,5,1,1,458.0,126,4.95,0,July,1
1,0,28806,Entire home/apt,3,5,3,0,1,60.0,69,4.91,1,July,0
0,1,28801,Private room,2,5,3,1,1,291.0,1,5.0,1,August,1
1,1,28801,Entire home/apt,8,5,5,1,1,538.0,27,5.0,1,July,1
0,1,28801,Entire home/apt,4,4,4,0,1,145.0,3,5.0,1,June,1
0,1,28806,Entire home/apt,4,5,4,1,1,150.0,38,4.95,0,September,0
1,1,28801,Entire home/apt,4,5,5,1,1,215.0,89,4.97,0,June,1
1,1,28806,Private room,2,4,1,1,1,127.0,18,4.72,1,July,1
1,1,28801,Entire home/apt,2,5,4,1,1,105.0,337,4.94,1,July,1
1,0,28801,Private room,2,5,5,1,1,124.0,100,4.7,0,June,1
1,1,28803,Entire home/apt,8,4,3,0,1,354.0,2,5.0,1,July,1
1,1,28806,Entire home/apt,6,5,5,0,1,176.0,128,4.72,1,August,1
0,0,28804,Entire home/apt,3,5,5,1,1,99.0,6,5.0,1,August,1
